date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:22:25	777320/777320	---M--	200	added ('OK')	image/jpeg	etag:%225582a92b-bdc68%22	http://the8guild.com/themes/html/eattie/v1.3/img/intro/1.jpg	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/img/intro/1.jpg	(from http://the8guild.com/themes/html/eattie/v1.3/home-slideshow.html)
15:22:25	51/51	---MCZ	200	added ('OK')	text/plain	date:Thu,%2024%20Nov%202016%2009:52:24%20GMT	http://fonts.googleapis.com/robots.txt		(from http://the8guild.com/themes/html/eattie/v1.3/home-slideshow.html)
15:22:43	442144/442144	---M--	200	added ('OK')	image/jpeg	etag:%225582a927-6bf20%22	http://the8guild.com/themes/html/eattie/v1.3/img/about/2.jpg	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/img/about/2.jpg	(from http://the8guild.com/themes/html/eattie/v1.3/home-slideshow.html)
15:22:48	384620/384620	---M--	200	added ('OK')	image/jpeg	etag:%225582a927-5de6c%22	http://the8guild.com/themes/html/eattie/v1.3/img/about/3.jpg	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/img/about/3.jpg	(from http://the8guild.com/themes/html/eattie/v1.3/home-slideshow.html)
15:23:51	535067/535067	---M--	200	added ('OK')	image/jpeg	etag:%225582a92d-82a1b%22	http://the8guild.com/themes/html/eattie/v1.3/img/menu/default.jpg	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/img/menu/default.jpg	(from http://the8guild.com/themes/html/eattie/v1.3/menu1.html)
15:23:51	528039/528039	---M--	200	added ('OK')	image/jpeg	etag:%225582a92d-80ea7%22	http://the8guild.com/themes/html/eattie/v1.3/img/menu/m_1.jpg	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/img/menu/m_1.jpg	(from http://the8guild.com/themes/html/eattie/v1.3/menu1.html)
15:24:14	534012/534012	---M--	200	added ('OK')	image/jpeg	etag:%225582a92d-825fc%22	http://the8guild.com/themes/html/eattie/v1.3/img/menu/m_3.jpg	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/img/menu/m_3.jpg	(from http://the8guild.com/themes/html/eattie/v1.3/menu1.html)
15:24:19	595737/595737	---M--	200	added ('OK')	image/jpeg	etag:%225582a92d-91719%22	http://the8guild.com/themes/html/eattie/v1.3/img/menu/m_2.jpg	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/img/menu/m_2.jpg	(from http://the8guild.com/themes/html/eattie/v1.3/menu1.html)
15:24:20	3314/3314	---M--	200	added ('OK')	application/x-javascript	etag:%225582a934-cf2%22	http://the8guild.com/themes/html/eattie/v1.3/js/scripts-secondary.js	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/js/scripts-secondary.js	(from http://the8guild.com/themes/html/eattie/v1.3/menu1.html)
15:24:20	8273/8273	---M--	200	added ('OK')	application/x-javascript	etag:%225582a936-2051%22	http://the8guild.com/themes/html/eattie/v1.3/js/plugins/jquery.raty.min.js	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/js/plugins/jquery.raty.min.js	(from http://the8guild.com/themes/html/eattie/v1.3/reviews.html)
15:25:24	576474/576474	---M--	200	added ('OK')	image/jpeg	etag:%225582a92e-8cbda%22	http://the8guild.com/themes/html/eattie/v1.3/img/menu/m_4.jpg	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/img/menu/m_4.jpg	(from http://the8guild.com/themes/html/eattie/v1.3/menu1.html)
15:25:29	600670/600670	---M--	200	added ('OK')	image/jpeg	etag:%225582a92e-92a5e%22	http://the8guild.com/themes/html/eattie/v1.3/img/menu/m_5.jpg	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/img/menu/m_5.jpg	(from http://the8guild.com/themes/html/eattie/v1.3/menu1.html)
15:25:31	438989/438989	---M--	200	added ('OK')	image/jpeg	etag:%225582a932-6b2cd%22	http://the8guild.com/themes/html/eattie/v1.3/img/recipes/default.jpg	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/img/recipes/default.jpg	(from http://the8guild.com/themes/html/eattie/v1.3/recipes.html)
15:25:53	614831/614831	---M--	200	added ('OK')	image/jpeg	etag:%225582a92f-961af%22	http://the8guild.com/themes/html/eattie/v1.3/img/menu/m_6.jpg	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/img/menu/m_6.jpg	(from http://the8guild.com/themes/html/eattie/v1.3/menu1.html)
15:26:39	415606/415606	---M--	200	added ('OK')	image/jpeg	etag:%225582a933-65776%22	http://the8guild.com/themes/html/eattie/v1.3/img/recipes/r_3.jpg	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/img/recipes/r_3.jpg	(from http://the8guild.com/themes/html/eattie/v1.3/recipes.html)
15:26:41	450239/450239	---M--	200	added ('OK')	image/jpeg	etag:%225582a932-6debf%22	http://the8guild.com/themes/html/eattie/v1.3/img/recipes/r_2.jpg	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/img/recipes/r_2.jpg	(from http://the8guild.com/themes/html/eattie/v1.3/recipes.html)
15:26:43	12563/12563	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Jun%202015%2011:18:59%20GMT	http://the8guild.com/themes/html/eattie/v1.3/recipes-single.html	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/recipes-single.html	(from http://the8guild.com/themes/html/eattie/v1.3/home-slideshow.html)
15:26:44	51/51	---MCZ	200	added ('OK')	text/plain	date:Thu,%2024%20Nov%202016%2009:56:43%20GMT	http://fonts.googleapis.com/robots.txt		(from http://the8guild.com/themes/html/eattie/v1.3/home-slideshow.html)
15:26:45	2982/2982	URF---	200	added ('OK%20(cached)')	image/png		http://the8guild.com/themes/html/eattie/v1.3/img/logo-big.png	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/img/logo-big.png	(from http://the8guild.com/themes/html/eattie/v1.3/home-slideshow.html)
15:26:46	777320/777320	URF---	200	added ('OK%20(cached)')	image/jpeg		http://the8guild.com/themes/html/eattie/v1.3/img/intro/1.jpg	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/img/intro/1.jpg	(from http://the8guild.com/themes/html/eattie/v1.3/home-slideshow.html)
15:26:57	60767/60767	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22189a8005-ed5f-518c8f970d340%22	http://the8guild.com/themes/html/eattie/v1.3/fonts/fontawesome-webfont.eot?v=4.3.0	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/fonts/fontawesome-webfonte0a5.eot	(from http://the8guild.com/themes/html/eattie/v1.3/css/font-awesome.min.css)
15:27:07	56780/56780	---M--	200	added ('OK')	text/plain	etag:%22189a8004-ddcc-518c8f970d340%22	http://the8guild.com/themes/html/eattie/v1.3/fonts/fontawesome-webfont.woff2?v=4.3.0	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/fonts/fontawesome-webfonte0a5.woff2	(from http://the8guild.com/themes/html/eattie/v1.3/css/font-awesome.min.css)
15:27:12	684205/684205	---M--	200	added ('OK')	image/jpeg	etag:%225582a932-a70ad%22	http://the8guild.com/themes/html/eattie/v1.3/img/recipes/r_1.jpg	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/img/recipes/r_1.jpg	(from http://the8guild.com/themes/html/eattie/v1.3/recipes.html)
15:27:17	313398/313398	---M--	200	added ('OK')	image/svg+xml	etag:%225582a925-4c836%22	http://the8guild.com/themes/html/eattie/v1.3/fonts/fontawesome-webfont.svg?v=4.3.0	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/fonts/fontawesome-webfonte0a5.svg	(from http://the8guild.com/themes/html/eattie/v1.3/css/font-awesome.min.css)
15:27:19	603291/603291	URF---	200	added ('OK%20(cached)')	image/jpeg		http://the8guild.com/themes/html/eattie/v1.3/img/intro/3.jpg	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/img/intro/3.jpg	(from http://the8guild.com/themes/html/eattie/v1.3/home-slideshow.html)
15:27:19	3646/3646	URF---	200	added ('OK%20(cached)')	image/png		http://the8guild.com/themes/html/eattie/v1.3/img/about/icon1.png	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/img/about/icon1.png	(from http://the8guild.com/themes/html/eattie/v1.3/home-slideshow.html)
15:27:20	5113/5113	URF---	200	added ('OK%20(cached)')	image/png		http://the8guild.com/themes/html/eattie/v1.3/img/about/icon2.png	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/img/about/icon2.png	(from http://the8guild.com/themes/html/eattie/v1.3/home-slideshow.html)
15:27:21	20722/20722	---M--	200	added ('OK')	text/html	etag:%221892804c-50f2-518c8f9430c80%22	http://the8guild.com/themes/html/eattie/v1.3/menu1.html	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/menu1.html	(from http://the8guild.com/themes/html/eattie/v1.3/home-slideshow.html)
15:27:22	3099/3099	URF---	200	added ('OK%20(cached)')	image/png		http://the8guild.com/themes/html/eattie/v1.3/img/about/icon3.png	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/img/about/icon3.png	(from http://the8guild.com/themes/html/eattie/v1.3/home-slideshow.html)
15:27:23	308819/308819	URF---	200	added ('OK%20(cached)')	image/jpeg		http://the8guild.com/themes/html/eattie/v1.3/img/about/1.jpg	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/img/about/1.jpg	(from http://the8guild.com/themes/html/eattie/v1.3/home-slideshow.html)
15:27:23	442144/442144	URF---	200	added ('OK%20(cached)')	image/jpeg		http://the8guild.com/themes/html/eattie/v1.3/img/about/2.jpg	/home/haptix/websites/Restaurant/Cafe/Foods/eattieslideshow/the8guild.com/themes/html/eattie/v1.3/img/about/2.jpg	(from http://the8guild.com/themes/html/eattie/v1.3/home-slideshow.html)
